product_code_digits,concept_name,concept_token,brand_name,packager,is_repackaged,source_ndc_prefix,notes
0006007861,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060078,sitagliptin + metformin XR
0006007862,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060078,sitagliptin + metformin XR
0006007882,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060078,sitagliptin + metformin XR
0006008014,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060080,sitagliptin + metformin XR
0006008028,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060080,sitagliptin + metformin XR
0006008061,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060080,sitagliptin + metformin XR
0006008062,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060080,sitagliptin + metformin XR
0006008082,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060080,sitagliptin + metformin XR
0006008107,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060081,sitagliptin + metformin XR
0006008114,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060081,sitagliptin + metformin XR
0006008131,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060081,sitagliptin + metformin XR
0006008154,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060081,sitagliptin + metformin XR
0006008182,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,Merck Sharp & Dohme LLC,false,00060081,sitagliptin + metformin XR
0006011201,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060112,sitagliptin only
0006011228,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060112,sitagliptin only
0006011231,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060112,sitagliptin only
0006011254,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060112,sitagliptin only
0006022101,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060221,sitagliptin only
0006022128,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060221,sitagliptin only
0006022131,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060221,sitagliptin only
0006022154,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060221,sitagliptin only
0006027701,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060277,sitagliptin only
0006027702,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060277,sitagliptin only
0006027714,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060277,sitagliptin only
0006027727,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060277,sitagliptin only
0006027728,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060277,sitagliptin only
0006027730,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060277,sitagliptin only
0006027731,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060277,sitagliptin only
0006027733,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060277,sitagliptin only
0006027754,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060277,sitagliptin only
0006027782,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Merck Sharp & Dohme LLC,false,00060277,sitagliptin only
0006536703,sitagliptin-containing,drug_sitagliptin_family,STEGLUJAN,Merck Sharp & Dohme LLC,false,00065367,ertugliflozin + sitagliptin
0006536706,sitagliptin-containing,drug_sitagliptin_family,STEGLUJAN,Merck Sharp & Dohme LLC,false,00065367,ertugliflozin + sitagliptin
0006536707,sitagliptin-containing,drug_sitagliptin_family,STEGLUJAN,Merck Sharp & Dohme LLC,false,00065367,ertugliflozin + sitagliptin
0006536708,sitagliptin-containing,drug_sitagliptin_family,STEGLUJAN,Merck Sharp & Dohme LLC,false,00065367,ertugliflozin + sitagliptin
0006536709,sitagliptin-containing,drug_sitagliptin_family,STEGLUJAN,Merck Sharp & Dohme LLC,false,00065367,ertugliflozin + sitagliptin
0006536803,sitagliptin-containing,drug_sitagliptin_family,STEGLUJAN,Merck Sharp & Dohme LLC,false,00065368,ertugliflozin + sitagliptin
0006536806,sitagliptin-containing,drug_sitagliptin_family,STEGLUJAN,Merck Sharp & Dohme LLC,false,00065368,ertugliflozin + sitagliptin
0006536807,sitagliptin-containing,drug_sitagliptin_family,STEGLUJAN,Merck Sharp & Dohme LLC,false,00065368,ertugliflozin + sitagliptin
0006536808,sitagliptin-containing,drug_sitagliptin_family,STEGLUJAN,Merck Sharp & Dohme LLC,false,00065368,ertugliflozin + sitagliptin
0006536809,sitagliptin-containing,drug_sitagliptin_family,STEGLUJAN,Merck Sharp & Dohme LLC,false,00065368,ertugliflozin + sitagliptin
5009055020,sitagliptin-containing,drug_sitagliptin_family,JANUMET,A-S Medication Solutions,true,00060577,repackaged; source NDC 0006-0577
5009055021,sitagliptin-containing,drug_sitagliptin_family,JANUMET,A-S Medication Solutions,true,00060577,repackaged; source NDC 0006-0577
5009056160,sitagliptin-containing,drug_sitagliptin_family,JANUMET,A-S Medication Solutions,true,00060575,repackaged; source NDC 0006-0575
5009056161,sitagliptin-containing,drug_sitagliptin_family,JANUMET,A-S Medication Solutions,true,00060575,repackaged; source NDC 0006-0575
5009044110,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,A-S Medication Solutions,true,00060080,repackaged; source NDC 0006-0080
5009044111,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,A-S Medication Solutions,true,00060080,repackaged; source NDC 0006-0080
5009055040,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,A-S Medication Solutions,true,00060080,repackaged; source NDC 0006-0080
5009055041,sitagliptin-containing,drug_sitagliptin_family,JANUMET XR,A-S Medication Solutions,true,00060080,repackaged; source NDC 0006-0080
5009055850,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,A-S Medication Solutions,true,00060277,repackaged; source NDC 0006-0277
5009055851,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,A-S Medication Solutions,true,00060277,repackaged; source NDC 0006-0277
5009035270,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,A-S Medication Solutions,true,00060221,repackaged; source NDC 0006-0221
5009035271,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,A-S Medication Solutions,true,00060221,repackaged; source NDC 0006-0221
5009055470,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,A-S Medication Solutions,true,00060221,repackaged; source NDC 0006-0221
5009040840,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,A-S Medication Solutions,true,00060277,repackaged; source NDC 0006-0277
5009034720,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,A-S Medication Solutions,true,00060112,repackaged; source NDC 0006-0112
5009034721,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,A-S Medication Solutions,true,00060112,repackaged; source NDC 0006-0112
5009010360,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,A-S Medication Solutions,true,00060277,repackaged; source NDC 0006-0277
5009010362,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,A-S Medication Solutions,true,00060277,repackaged; source NDC 0006-0277
5009040870,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,A-S Medication Solutions,true,00060221,repackaged; source NDC 0006-0221
5009040860,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,A-S Medication Solutions,true,00060112,repackaged; source NDC 0006-0112
5515450428,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Cardinal Health 107 LLC,true,00060277,repackaged; source NDC 0006-0277
5515450408,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Cardinal Health 107 LLC,true,00060112,repackaged; source NDC 0006-0112
5811802773,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Clinical Solutions Wholesale,true,00060277,repackaged; source NDC 0006-0277
5811802776,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Clinical Solutions Wholesale,true,00060277,repackaged; source NDC 0006-0277
5811802779,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,Clinical Solutions Wholesale,true,00060277,repackaged; source NDC 0006-0277
5486858400,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,,true,,repackaged; source NDC not provided in pasted list
5486858401,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,,true,,repackaged; source NDC not provided in pasted list
5486860310,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,,true,,repackaged; source NDC not provided in pasted list
5486860311,sitagliptin-containing,drug_sitagliptin_family,JANUVIA,,true,,repackaged; source NDC not provided in pasted list
